;outline_file_name;outline_file_path;FINAL_GEOUNIT
220;Sint_Maarten.png;files/outlines/Sint_Maarten.png;Sint Maarten
221;Slovakia.png;files/outlines/Slovakia.png;Slovakia
222;Slovenia.png;files/outlines/Slovenia.png;Slovenia
223;Solomon_Islands.png;files/outlines/Solomon_Islands.png;Solomon Islands
224;Somalia.png;files/outlines/Somalia.png;Somalia
225;South_Africa.png;files/outlines/South_Africa.png;South Africa
226;South_Georgia_and_the_Islands.png;files/outlines/South_Georgia_and_the_Islands.png;South Georgia and the Islands
227;South_Korea.png;files/outlines/South_Korea.png;South Korea
228;South_Sudan.png;files/outlines/South_Sudan.png;South Sudan
229;Southern_Patagonian_Ice_Field.png;files/outlines/Southern_Patagonian_Ice_Field.png;Southern Patagonian Ice Field
230;Spain.png;files/outlines/Spain.png;Spain
231;Spratly_Islands.png;files/outlines/Spratly_Islands.png;Spratly Islands
232;Sri_Lanka.png;files/outlines/Sri_Lanka.png;Sri Lanka
233;Sudan.png;files/outlines/Sudan.png;Sudan
234;Suriname.png;files/outlines/Suriname.png;Suriname
235;Svalbard.png;files/outlines/Svalbard.png;Svalbard
236;Sweden.png;files/outlines/Sweden.png;Sweden
237;Switzerland.png;files/outlines/Switzerland.png;Switzerland
238;Syria.png;files/outlines/Syria.png;Syria
239;São_Tomé_and_Principe.png;files/outlines/São_Tomé_and_Principe.png;São Tomé and Principe
240;Taiwan.png;files/outlines/Taiwan.png;Taiwan
241;Tajikistan.png;files/outlines/Tajikistan.png;Tajikistan
242;Tanzania.png;files/outlines/Tanzania.png;Tanzania
243;Thailand.png;files/outlines/Thailand.png;Thailand
244;The_Bahamas.png;files/outlines/The_Bahamas.png;The Bahamas
245;Togo.png;files/outlines/Togo.png;Togo
246;Tokelau.png;files/outlines/Tokelau.png;Tokelau
247;Tonga.png;files/outlines/Tonga.png;Tonga
248;Trinidad_and_Tobago.png;files/outlines/Trinidad_and_Tobago.png;Trinidad and Tobago
249;Tunisia.png;files/outlines/Tunisia.png;Tunisia
250;Turkey.png;files/outlines/Turkey.png;Turkey
251;Turkmenistan.png;files/outlines/Turkmenistan.png;Turkmenistan
252;Turks_and_Caicos_Islands.png;files/outlines/Turks_and_Caicos_Islands.png;Turks and Caicos Islands
253;Tuvalu.png;files/outlines/Tuvalu.png;Tuvalu
254;UNDOF.png;files/outlines/UNDOF.png;UNDOF
255;US_Naval_Base_Guantanamo_Bay.png;files/outlines/US_Naval_Base_Guantanamo_Bay.png;US Naval Base Guantanamo Bay
